	SC7493	SC7090	SC7285	SC7278	SC7494	SC7483	SC7288	SC7492	SC7482	SC7276	SC7291	SC7489	SC7289	SC7480	SC7290	SC7485	SC7277	SC7283	SC7294	SC7481	SC7281	SC7280	SC7293	SC7282	SC7477	SC7295	SC7484	B6donor	SC7279	SC1995	SC7496	SC1900	SC7292	SC7478	SC1993	SC7299	SC7576	SC7499	SC7287	SC7495	SC7296	SC7297	SC7498	SC7578	SC7490	SC7298	SC7491	SC7479	SC7488	SC7286	SC7497	SC7577	SC7476	SC7486	SC7487
SC7493	0.0	0.516086301381	0.292309396414	0.269497814443	0.250663661023	0.227520279319	0.527791584386	0.606155568159	0.151471244876	0.489783991513	0.150485836895	0.495156414066	0.252357786074	0.432867513334	0.2525684734	0.486577653419	0.254852617641	0.197464442856	0.263717045044	0.286095717654	0.277823804151	0.242538262412	0.198870526457	0.234348622877	0.446775533732	0.128992397636	0.219672035291	0.379075046607	0.242384698624	0.371742806373	0.0822397877624	0.522071217338	0.378223317917	0.521015749102	0.501732466896	0.343182009734	0.168441618489	0.269755533676	0.515788111516	0.262621595672	0.197260106031	0.332317064688	0.245961767846	0.259526946854	0.564577718923	0.446759086623	0.521340394845	0.552976348311	0.521546519379	0.616139071741	0.148048551148	0.347034440126	0.449624855509	0.582301871439	0.455539137244
SC7090	0.516086301381	0.0	0.377805776723	0.608039912289	0.438740884802	0.609505131308	0.164556651715	0.28054348429	0.618306518314	0.0933602130906	0.468159004659	0.131857791918	0.369089262337	0.144501885791	0.382424035134	0.387338339033	0.289932486747	0.420671940171	0.57320548817	0.30127111862	0.364649509711	0.337591207644	0.425173975557	0.33438519836	0.144429537574	0.610102144171	0.51630469597	0.325895235674	0.329055533588	0.255269773559	0.469902621655	0.139312967251	0.280201361458	0.121481938945	0.114449926217	0.236705062847	0.479109768519	0.350125162327	0.158257768753	0.325733824473	0.438854766017	0.23900758423	0.404440739755	0.431069570122	0.172349820405	0.141171158124	0.142888076705	0.167097414639	0.24704065463	0.21030977754	0.467826820638	0.339191256695	0.153955289259	0.209313170478	0.334752727891
SC7285	0.292309396414	0.377805776723	0.0	0.450297632302	0.135185345711	0.306966183492	0.322698675964	0.387568265799	0.381156099674	0.299859736408	0.187073049203	0.329639986359	0.143334463548	0.259275460151	0.135739173346	0.221817508978	0.181652811991	0.16737166463	0.326290627877	0.184317425498	0.112008410091	0.182969750843	0.171106179725	0.192086572942	0.259702481061	0.357327387515	0.260428540887	0.188777148848	0.160075687282	0.177457645652	0.231804055467	0.363705479664	0.188159423971	0.341726572804	0.323371957603	0.161965017086	0.168610280051	0.12473017266	0.308812303169	0.139717740205	0.185922889222	0.162650286679	0.110139754359	0.258862519347	0.403378495625	0.257578765927	0.363674568821	0.344015495276	0.290371250119	0.460494343569	0.180434772048	0.259605875776	0.257990367238	0.379082713461	0.207409387046
SC7278	0.269497814443	0.608039912289	0.450297632302	0.0	0.409103587701	0.177606780835	0.70281364647	0.769695476464	0.210757044044	0.656536653903	0.306278120596	0.666577507081	0.424303503686	0.544982014913	0.408077031731	0.647888297993	0.357405233163	0.337235509741	0.273057450057	0.420573309933	0.429130812849	0.387406102964	0.35534270976	0.365100016867	0.587937241806	0.296125226196	0.296639980728	0.524158872933	0.399354224046	0.54528293222	0.307854720498	0.673821027303	0.537739866723	0.682428361599	0.655824819581	0.501177408088	0.327651761792	0.36691062071	0.682648351938	0.402373098764	0.359363301154	0.449779076844	0.402883406791	0.27692793285	0.736851777345	0.584292666745	0.696492644009	0.71594294688	0.688222643116	0.782669236103	0.356250081292	0.495253398556	0.612294272375	0.757334235171	0.621499795861
SC7494	0.250663661023	0.438740884802	0.135185345711	0.409103587701	0.0	0.257480577338	0.392329958558	0.447477450135	0.340688349465	0.372551383405	0.14657251498	0.395368122157	0.130424842491	0.315085768915	0.13643786459	0.25727019073	0.188895902935	0.192341166976	0.220291339036	0.19148084614	0.1871346108	0.177912042998	0.116666346466	0.200380161061	0.316730550822	0.292294837152	0.172421639467	0.280159120655	0.173885721686	0.267342908004	0.184089339166	0.422712902362	0.226654750534	0.394362005128	0.394894098352	0.219762098388	0.101213984962	0.121800743313	0.354577304484	0.139817561765	0.0986870324823	0.215079738799	0.0737969787006	0.206117834391	0.46190142356	0.322839821457	0.424508460565	0.380992171359	0.314682894541	0.514039017079	0.14841798839	0.18967354172	0.312686184087	0.438243036695	0.233766257521
SC7483	0.227520279319	0.609505131308	0.306966183492	0.177606780835	0.257480577338	0.0	0.588408263151	0.649969479959	0.146940026177	0.553400308141	0.190779601796	0.581332564073	0.297578900362	0.498701881848	0.302343389258	0.492355565452	0.34715039621	0.280344675222	0.151907604361	0.35356726745	0.345774653054	0.330922625147	0.227332913895	0.323525563633	0.498944595297	0.201305048878	0.163582181677	0.450604196884	0.324869411003	0.444461142296	0.246263650324	0.624410337057	0.408136407371	0.58279050019	0.59550798455	0.405071578893	0.200189386836	0.299959205955	0.555498473639	0.318053700363	0.23282591288	0.401751770038	0.264547112492	0.269782620498	0.660370051052	0.502760531206	0.61941011894	0.578213478944	0.552891962256	0.716172300141	0.268407656962	0.374067886522	0.504733127093	0.638302809789	0.46271850088
SC7288	0.527791584386	0.164556651715	0.322698675964	0.70281364647	0.392329958558	0.588408263151	0.0	0.163138041924	0.60701133078	0.0889421733561	0.422027086173	0.0723736966641	0.314350108165	0.177613985148	0.350315220388	0.256883184152	0.36559568403	0.434632982344	0.542697689417	0.340839891029	0.349524853119	0.359971730886	0.401349065088	0.379556930028	0.151281274254	0.585404265723	0.471571709935	0.285183246298	0.321924736135	0.210597775666	0.454994738228	0.0981647510189	0.251643385438	0.119499911611	0.125756804142	0.245728000665	0.427123094876	0.385271673849	0.0742104514526	0.31785864434	0.405003513261	0.26873715958	0.359507349677	0.445660791564	0.0912189358706	0.181076040841	0.103143404125	0.140128136599	0.133141914738	0.152196602892	0.435302885648	0.285914444973	0.145997132864	0.0888775780142	0.223305851339
SC7492	0.606155568159	0.28054348429	0.387568265799	0.769695476464	0.447477450135	0.649969479959	0.163138041924	0.0	0.700150257317	0.207618970993	0.512495529749	0.196788089484	0.410478841699	0.235550828893	0.445228487584	0.26629480515	0.454832853939	0.525512943644	0.639700255697	0.395445101332	0.448041716637	0.448127937152	0.498296490153	0.471903096446	0.222080320259	0.680672540479	0.568459926704	0.326350467326	0.383757958011	0.309390511375	0.537683265704	0.215617707824	0.332673190438	0.23348020085	0.236839280059	0.285167472269	0.486788265372	0.437121331555	0.184164626845	0.403797954043	0.501845739161	0.330402679202	0.418068078841	0.528496386753	0.141535225212	0.225747810731	0.224314928141	0.201905487412	0.181549858054	0.169618603758	0.486010674576	0.376056552501	0.216576083403	0.185012004535	0.248017640244
SC7482	0.151471244876	0.618306518314	0.381156099674	0.210757044044	0.340688349465	0.146940026177	0.60701133078	0.700150257317	0.0	0.577228653138	0.224047572415	0.607281655718	0.313824240815	0.523559688562	0.31587339703	0.576217667431	0.354157488391	0.308642913752	0.215971405428	0.401713818443	0.375279459825	0.361485541177	0.264217151323	0.327226616136	0.544539100289	0.102402763699	0.214024896476	0.501293956203	0.362543702478	0.472052001333	0.204446824308	0.63095088017	0.446279315616	0.601414294236	0.622373215296	0.465271405261	0.255030963591	0.350919047648	0.586887936812	0.33713682711	0.258483740262	0.430377092368	0.333322066237	0.315643835289	0.672645088771	0.551211625517	0.627384870173	0.642256434382	0.612509090818	0.718007601492	0.258440332289	0.39791428445	0.564977501523	0.668581875108	0.547034467321
SC7276	0.489783991513	0.0933602130906	0.299859736408	0.656536653903	0.372551383405	0.553400308141	0.0889421733561	0.207618970993	0.577228653138	0.0	0.396782434835	0.068093094832	0.309675869188	0.150929052851	0.327818719793	0.307402433616	0.325890628173	0.40352131511	0.521521063041	0.305611627318	0.328304847272	0.328176849132	0.373736056478	0.341789586629	0.122290050016	0.554420121446	0.458732750871	0.291182745261	0.305359604779	0.196614095334	0.424637534553	0.106468974235	0.222906099839	0.0675234605153	0.0826766219535	0.209349293489	0.411324186377	0.352214374467	0.0821995664654	0.294456399265	0.382915849409	0.237659661298	0.338995208664	0.40903724763	0.127243793552	0.135551430613	0.0975244062189	0.109023379177	0.167574686976	0.17386779447	0.415250337947	0.281631458197	0.116435421362	0.12932172471	0.25163835623
