	B6donor	SC7286	SC7287	SC7288	SC7289	SC7290	SC7291	SC7292	SC7293	SC7294	SC7295	SC7296	SC7297	SC7298	SC7299	SC7476	SC7477	SC7478	SC7479	SC7480	SC7481	SC7482	SC7483	SC7484	SC7485	SC7486	SC7487	SC7488	SC7489	SC7490	SC7491	SC7492	SC7493	SC7494	SC7495	SC7496	SC7497	SC7498	SC7499	SC7576	SC7577	SC7578
B6donor	0.0	0.588926446352	0.610370578803	0.651595832056	0.623182842577	0.606537856849	0.631097743854	0.645991423575	0.609526821026	0.614435350447	0.699967676612	0.666955711095	0.648653909624	0.639859092477	0.671970417631	0.667220907921	0.66530552283	0.680175843447	0.607999641918	0.65365199853	0.638435836136	0.673875025545	0.698894356183	0.69360261561	0.705717752059	0.675192030843	0.703826747071	0.654655863356	0.667610266437	0.657826590207	0.618181487774	0.660896600007	0.646648731689	0.639101939418	0.660997725669	0.636660895268	0.662426742112	0.635926989738	0.662415260248	0.663364576158	0.671961014925	0.66423644863
SC7286	0.588926446352	0.0	0.602495274668	0.639021147988	0.594368563755	0.596918003386	0.619489760426	0.629445922778	0.594453402005	0.621762768581	0.668788585267	0.632403176675	0.633352370848	0.635151471816	0.640560704318	0.632573652894	0.627670126531	0.653677935519	0.598947907693	0.65171838378	0.641295169402	0.670254050214	0.681138590204	0.672276728071	0.683471387034	0.653754821328	0.675613990939	0.638039304558	0.642200082923	0.647593181856	0.59594849335	0.65980509957	0.644067720345	0.631861087355	0.642563215484	0.628664489697	0.650538961655	0.607420031313	0.639498544935	0.637620031764	0.636529199534	0.667898764242
SC7287	0.610370578803	0.602495274668	0.0	0.621299249594	0.584252212204	0.578764639259	0.586098049813	0.623855831494	0.58033203945	0.572262429841	0.696535426482	0.666839298942	0.657896607105	0.646705589743	0.666381033706	0.632597344949	0.664225052321	0.668072017554	0.612648852732	0.611785393997	0.611859857954	0.633946166822	0.655763285639	0.659179659521	0.673461154039	0.634357102035	0.667422506903	0.623003343562	0.645043125239	0.62418899251	0.600750151244	0.620694450834	0.625532225699	0.629582019859	0.63803443047	0.620061168235	0.637342817322	0.60722998401	0.66378921024	0.652525493717	0.68407720073	0.661840838033
SC7288	0.651595832056	0.639021147988	0.621299249594	0.0	0.609760518223	0.618619538607	0.631219572726	0.600832304821	0.627109552072	0.637263913089	0.701206161594	0.676638692591	0.674300927691	0.663795579555	0.669704581073	0.644681928847	0.666189878848	0.668792422451	0.642748815403	0.656013843861	0.671391293151	0.638226668513	0.630136400736	0.63094662618	0.647501741991	0.643639529294	0.65819544407	0.59280565828	0.620782781102	0.617203930406	0.657100667418	0.680397002416	0.682562379758	0.675737734846	0.67220191482	0.651080982496	0.675753997985	0.652453887226	0.666337311614	0.66510578566	0.690528374232	0.673920863636
SC7289	0.623182842577	0.594368563755	0.584252212204	0.609760518223	0.0	0.581256681052	0.604538291295	0.638823879475	0.596650131134	0.613213383754	0.664000759125	0.6482281645	0.646574863454	0.64361612007	0.634330607041	0.612531482686	0.632108722348	0.640083889416	0.604596632162	0.640744835036	0.631908617359	0.669419892855	0.654725404915	0.656801189744	0.659544080847	0.631252871111	0.643746231124	0.630032032468	0.633047828718	0.623867251765	0.6169361486	0.63075378048	0.640789914434	0.651183415523	0.651079719479	0.628190585817	0.653819710783	0.615357038965	0.647299972362	0.647717406907	0.6610515363	0.651987557541
SC7290	0.606537856849	0.596918003386	0.578764639259	0.618619538607	0.581256681052	0.0	0.587778938991	0.620954340883	0.590810931245	0.600409265625	0.668894069322	0.649859622798	0.636906101896	0.64007676547	0.638928058733	0.607131188706	0.641203344456	0.653981062263	0.613769594916	0.62654886156	0.628953550714	0.662517954806	0.649852652567	0.65769089194	0.665744382957	0.631748772541	0.644022117512	0.608546266209	0.622591062708	0.613400322741	0.600029581109	0.63239559177	0.651831336037	0.63788012223	0.651816707182	0.63078459203	0.657905654954	0.612958082409	0.646857774369	0.64734318285	0.668062327604	0.654463454219
SC7291	0.631097743854	0.619489760426	0.586098049813	0.631219572726	0.604538291295	0.587778938991	0.0	0.622830091316	0.600010918917	0.573711356324	0.696231251417	0.661047428727	0.662006789722	0.64775910282	0.66953157594	0.644482380482	0.661091797588	0.684526694939	0.60737300442	0.600240061187	0.618311517608	0.632438428392	0.655232782224	0.664217664781	0.67089756186	0.628595943797	0.643027671945	0.624204534392	0.630032736365	0.620164723368	0.597505278767	0.618469500591	0.622040822952	0.622924651701	0.648304590321	0.629693582496	0.634167586993	0.621177543485	0.66707912431	0.66729082306	0.693071315316	0.655981991617
SC7292	0.645991423575	0.629445922778	0.623855831494	0.600832304821	0.638823879475	0.620954340883	0.622830091316	0.0	0.639931009255	0.613495489216	0.706103396425	0.659261240183	0.662855630752	0.657106802619	0.66900946424	0.647815310271	0.655551971781	0.687153070516	0.632840289191	0.657007445269	0.663480130239	0.62066310484	0.623800143899	0.639345706656	0.645335429778	0.643550735033	0.669811016623	0.61662691676	0.622582177471	0.608305555241	0.639867442125	0.673151984201	0.663787635875	0.65102883047	0.652774690081	0.646159942004	0.654324451787	0.641848240616	0.659400777471	0.650155340901	0.67306498611	0.681115140489
SC7293	0.609526821026	0.594453402005	0.58033203945	0.627109552072	0.596650131134	0.590810931245	0.600010918917	0.639931009255	0.0	0.600120903218	0.667097326474	0.655881602785	0.640032112921	0.637150065103	0.640072467461	0.627627156694	0.657726797598	0.643780035411	0.627035013433	0.635326630419	0.634737999701	0.665500295721	0.682378906131	0.675106333448	0.69400613859	0.650243052621	0.666895482713	0.631424614194	0.644519857147	0.638881048571	0.624920368575	0.653043604608	0.650554337769	0.639789474334	0.656188195073	0.635442109473	0.657175704042	0.625437403135	0.646887813389	0.62967750979	0.654455939233	0.649633860946
SC7294	0.614435350447	0.621762768581	0.572262429841	0.637263913089	0.613213383754	0.600409265625	0.573711356324	0.613495489216	0.600120903218	0.0	0.706214526714	0.674592660607	0.667934253526	0.662508041123	0.682943111993	0.65230745084	0.679290857413	0.682451668986	0.609528050715	0.601341007626	0.606623562638	0.62918990837	0.660760975732	0.678251812591	0.677737182175	0.635333275932	0.663602087648	0.624619690262	0.644997036303	0.62372981891	0.590399063141	0.611937006265	0.614546212393	0.633362838421	0.649095161303	0.625626865826	0.643158385534	0.62542068897	0.680113206474	0.671684510503	0.692781420243	0.663034751961
