	B6donor	SC7286	SC7287	SC7288	SC7289	SC7290	SC7291	SC7292	SC7293	SC7294	SC7295	SC7296	SC7297	SC7298	SC7299	SC7476	SC7477	SC7478	SC7479	SC7480	SC7481	SC7482	SC7483	SC7484	SC7485	SC7486	SC7487	SC7488	SC7489	SC7490	SC7491	SC7492	SC7493	SC7494	SC7495	SC7496	SC7497	SC7498	SC7499	SC7576	SC7577	SC7578
B6donor	0.0	0.187581747595	0.207062377678	0.224759641204	0.234380615037	0.211641024363	0.184502942008	0.240987752038	0.234321115678	0.184684121426	0.417364892659	0.412991723901	0.404277018739	0.375734516516	0.376772719132	0.318280897377	0.434525623707	0.333751097443	0.15403096686	0.234966511882	0.222862408448	0.337575499764	0.481082161707	0.54682843083	0.554368683003	0.457750319717	0.493303058771	0.341874768544	0.378399290814	0.30043162215	0.232549444084	0.249799011559	0.234278787036	0.240938673788	0.324528680205	0.192266573776	0.247805845312	0.271103095592	0.405202599985	0.403601047156	0.441431131723	0.299525983092
SC7286	0.187581747595	0.0	0.186386776897	0.183160929447	0.14771997849	0.200588918415	0.202930760996	0.134531298616	0.159385077638	0.240835380816	0.327576632068	0.324844203134	0.317886622367	0.285873864306	0.226618218639	0.186123511845	0.306232986599	0.232595639796	0.17944495745	0.309128746488	0.274405585874	0.298055984957	0.417254067075	0.439308463942	0.457359028425	0.3824174708	0.415566907531	0.276227693873	0.296646436513	0.223740303413	0.151066832282	0.244869873077	0.258590747655	0.177815437158	0.188264106099	0.178031413336	0.156900168382	0.158270873175	0.29219046763	0.273359085928	0.347608895107	0.256228846853
SC7287	0.207062377678	0.186386776897	0.0	0.13046224098	0.128557750202	0.116627526663	0.101705081357	0.148200296136	0.143483831889	0.13380803649	0.389801199918	0.392819681047	0.389704473346	0.355519030604	0.301636222469	0.24235234404	0.379390637297	0.271973484475	0.175943626977	0.219027696975	0.215537281735	0.257022207639	0.395774852583	0.431086740602	0.463013662687	0.377031601894	0.410266371395	0.257290350687	0.326190617482	0.233816012389	0.131752690898	0.170292673237	0.233716194603	0.194420878892	0.232553912477	0.126201919667	0.165783396113	0.166782060894	0.355455713432	0.338464247545	0.431547900542	0.257498702284
SC7288	0.224759641204	0.183160929447	0.13046224098	0.0	0.128167657895	0.131906541513	0.161698324496	0.112220965283	0.159707954289	0.196953380789	0.350195185201	0.350980074666	0.341600694584	0.312253045897	0.263373683407	0.218078577606	0.329608327109	0.245854350577	0.214774726968	0.262688167148	0.257864779216	0.220794642648	0.351329356209	0.411439111046	0.424161942939	0.339183501559	0.37202265768	0.213936518002	0.259101080147	0.18701224424	0.165759000342	0.241407439882	0.288311166292	0.187234155542	0.210844399735	0.161480229751	0.155344211249	0.183376191512	0.299636923784	0.304198590919	0.369412963799	0.218290650215
SC7289	0.234380615037	0.14771997849	0.128557750202	0.128167657895	0.0	0.119184109601	0.167007620031	0.139626938636	0.160972260165	0.219090703732	0.344005948725	0.358249753726	0.347286491176	0.315347650776	0.241420809528	0.199764108298	0.317173939246	0.231928109869	0.19820728961	0.298813634466	0.274225413258	0.278952441821	0.352350179481	0.399039126854	0.415864529048	0.331662811438	0.361566630225	0.236415306228	0.26353479727	0.16750430725	0.144406581149	0.225283596116	0.272255754193	0.202920085283	0.181474207368	0.161817187566	0.16421608807	0.160667438125	0.299760818107	0.291896530018	0.376360948308	0.213021931619
SC7290	0.211641024363	0.200588918415	0.116627526663	0.131906541513	0.119184109601	0.0	0.105121138341	0.15965409542	0.175175457908	0.160755401371	0.348618901001	0.353038429064	0.347212757279	0.31413965193	0.294117949049	0.235449215053	0.355360786643	0.260905441193	0.199804734871	0.284551900881	0.242924189724	0.282366146185	0.365441365186	0.437862216648	0.439595244239	0.345257379899	0.367962094653	0.238475111197	0.275997762579	0.192575051684	0.165067052899	0.217649681436	0.276442636549	0.191534888433	0.232753207094	0.140686169638	0.162574509776	0.189623016509	0.326391165696	0.325643875029	0.39107303971	0.231061908286
SC7291	0.184502942008	0.202930760996	0.101705081357	0.161698324496	0.167007620031	0.105121138341	0.0	0.153134850083	0.180137851259	0.102275301455	0.385823533118	0.379739960979	0.380091543219	0.339326636639	0.341375723227	0.285819606795	0.391929016698	0.307634945566	0.167722974125	0.233980518724	0.191085017666	0.247447471195	0.387960089026	0.461438850035	0.461342526663	0.363719239239	0.397609074127	0.274546939003	0.317005853856	0.222400390783	0.137734262432	0.161105179501	0.219767205239	0.159129092493	0.242874190504	0.109097134628	0.149041042933	0.175723567662	0.3655989114	0.361453617456	0.420725590054	0.246635876955
SC7292	0.240987752038	0.134531298616	0.148200296136	0.112220965283	0.139626938636	0.15965409542	0.153134850083	0.0	0.162349324588	0.201889303332	0.3261447906	0.320239437526	0.321271150066	0.284425673626	0.246667678625	0.206838523663	0.298056571017	0.263155723675	0.215683482043	0.295595244064	0.267011071934	0.22291402345	0.347871436865	0.385290369552	0.397418434708	0.322161446014	0.354370276616	0.224311300948	0.237035638943	0.159550797599	0.15256223685	0.243853138748	0.294330568491	0.163441075755	0.170847887653	0.160144185419	0.132143671482	0.137534765721	0.278787208819	0.278629369912	0.352114289546	0.228581075849
SC7293	0.234321115678	0.159385077638	0.143483831889	0.159707954289	0.160972260165	0.175175457908	0.180137851259	0.162349324588	0.0	0.212931334559	0.351883269017	0.375401017902	0.37024135317	0.33622468746	0.254963179946	0.199701125054	0.361951922655	0.212304852166	0.197243418244	0.262753736269	0.261360018447	0.316800668937	0.454415201917	0.473710025569	0.503104110596	0.416951456648	0.443235589078	0.299987810761	0.338596464509	0.272921344191	0.171177219011	0.216910363735	0.249799960607	0.174777711312	0.231958608358	0.162021114177	0.196545197844	0.215228316828	0.337378458292	0.315504283001	0.406468340616	0.284528449875
SC7294	0.184684121426	0.240835380816	0.13380803649	0.196953380789	0.219090703732	0.160755401371	0.102275301455	0.201889303332	0.212931334559	0.0	0.430913928278	0.424407790311	0.424075469565	0.391581302865	0.388721843763	0.33158031695	0.442925264831	0.351120763684	0.177537175623	0.191854731548	0.166952146265	0.274607352373	0.433433061827	0.503324870532	0.514384164706	0.412380843773	0.449195479165	0.309454842213	0.363806281636	0.27564209127	0.185859604842	0.14157382713	0.208131397274	0.207003232225	0.302467440135	0.155502525629	0.213640719702	0.231551932956	0.41629508541	0.416268575044	0.459290656786	0.291818925088
